event_id,sample,process,process_role,m_gammagamma,n_electrons,n_muons,n_leptons,n_jets,n_jets_central,n_jets_forward,n_bjets,n_bjets_central,ht_jets,lead_jet_pt,sublead_jet_pt,met,pt_gg,delta_r_gg,photon_ti,partition,bdt_score,category,significance_model_weight_36fb
ttH|346525|284500|1734826,ttH,ttH,signal_top,122.72850369911393,0,0,0,3,3,0,1,1,281.6370391845703,126.48707580566406,79.43019104003906,40.57514190673828,58.12434036122381,2.8672584362885742,False,train,0.2793286126771812,unassigned,0.0
ttH|346525|284500|1734344,ttH,ttH,signal_top,126.20821811732073,0,0,0,4,4,0,2,2,425.76175689697266,181.9633331298828,90.56140899658203,83.85598754882812,55.81743359328391,2.332239956886788,True,test,0.7090285243238813,ttH_had_BDT3,0.00039826118904186475
ttH|346525|284500|1734710,ttH,ttH,signal_top,123.94844488232161,0,0,0,4,4,0,1,1,438.50551986694336,169.54229736328125,147.7298126220703,33.15142059326172,161.60174553163301,1.3319228045941935,False,train,0.6846073726627274,ttH_had_BDT3,0.0
ttH|346525|284500|1734262,ttH,ttH,signal_top,146.78762445591033,0,0,0,6,6,0,2,2,485.0650215148926,238.24908447265625,66.66584014892578,26.077611923217773,91.89008328303584,2.3497732463762673,False,train,0.9237103556398097,ttH_had_BDT1,0.0
ttH|346525|284500|1734454,ttH,ttH,signal_top,125.42776904789854,0,0,0,4,4,0,1,1,188.43481826782227,60.489967346191406,47.83083724975586,13.47834587097168,141.0209824935402,1.5283664544470823,False,val,0.5480540014968067,ttH_had_BDT3,0.0
ttH|346525|284500|1734532,ttH,ttH,signal_top,124.31692326319383,0,0,0,3,3,0,1,1,193.74589347839355,124.42229461669922,43.469112396240234,44.529048919677734,166.13810275317,1.3857953488820516,True,val,0.6115732370079267,ttH_had_BDT3,0.00041867948718614877
ttH|346525|284500|1734510,ttH,ttH,signal_top,124.83003355052416,0,0,0,3,3,0,1,1,131.0330352783203,68.39985656738281,36.491641998291016,7.134591102600098,219.64047460954143,1.146148064658112,True,train,0.47904573036707465,ttH_had_BDT3,0.0004119734338993384
ttH|346525|284500|1734827,ttH,ttH,signal_top,124.79422907771406,0,0,0,5,5,0,2,2,343.54386138916016,128.46583557128906,87.2705307006836,45.90824508666992,354.74340198943173,0.9517525846055369,True,test,0.9477745290803806,ttH_had_BDT1,0.0003207481018605796
ttH|346525|284500|1734428,ttH,ttH,signal_top,123.61315311900493,0,0,0,3,3,0,2,2,250.2768898010254,115.16727447509766,73.56440734863281,157.80618286132812,311.1736569434494,0.9360173116425848,True,train,0.935016951435771,ttH_had_BDT1,0.00032385830284377973
ttH|346525|284500|1734528,ttH,ttH,signal_top,124.58126902897577,0,0,0,4,4,0,2,2,246.90449142456055,84.51082611083984,62.92574691772461,19.292476654052734,41.8926919772255,2.7238067791498257,True,train,0.6012133721348415,ttH_had_BDT3,0.0003310444934107099
ttH|346525|284500|1734875,ttH,ttH,signal_top,150.25160121811217,0,0,0,3,3,0,1,1,179.43804931640625,77.2425765991211,55.11077117919922,67.76943969726562,143.67137902125958,1.7421614961165093,False,val,0.7069406275357384,ttH_had_BDT3,0.0
ttH|346525|284500|1734689,ttH,ttH,signal_top,123.57487909503543,0,0,0,6,6,0,1,1,376.679874420166,122.84599304199219,84.44859313964844,24.604284286499023,55.91029435995819,2.620137813025735,False,test,0.7227008496956242,ttH_had_BDT3,0.0
ttH|346525|284500|1734857,ttH,ttH,signal_top,126.83608595763666,0,0,0,5,5,0,1,1,225.07078742980957,72.54989624023438,60.83125305175781,10.531487464904785,32.335427310523805,3.0859439840024065,False,val,0.31901222122676787,unassigned,0.0
ttH|346525|284500|1734787,ttH,ttH,signal_top,125.67339524036866,0,0,0,6,6,0,2,2,419.58247566223145,102.88758087158203,101.6118392944336,51.97410202026367,43.68418281321001,2.743420704275093,True,train,0.8740521041308117,ttH_had_BDT2,0.00038292413538916687
ttH|346525|284500|630423,ttH,ttH,signal_top,126.16898953380054,0,0,0,5,5,0,1,1,437.23000717163086,162.664306640625,150.54620361328125,14.391595840454102,109.73117026113741,1.7792133733422664,False,train,0.7844556112559596,ttH_had_BDT2,0.0
ttH|346525|284500|630750,ttH,ttH,signal_top,126.43667687755864,0,0,0,5,5,0,1,1,381.48388481140137,163.87867736816406,91.15879821777344,15.735953330993652,64.63403563319727,2.607472138639006,True,train,0.6491351989342962,ttH_had_BDT3,0.0003465408590400871
ttH|346525|284500|630733,ttH,ttH,signal_top,126.99213261903105,0,0,0,4,4,0,1,1,189.3891086578369,69.11468505859375,48.936622619628906,39.18581008911133,113.32289315016263,1.764268370798828,False,train,0.5234193802238565,ttH_had_BDT3,0.0
ttH|346525|284500|630358,ttH,ttH,signal_top,124.52873059340848,0,0,0,3,3,0,2,2,225.76105880737305,100.98894500732422,76.66203308105469,41.177947998046875,12.044503870879579,3.0417262531542226,False,test,0.42389636380267004,ttH_had_BDT3,0.0
ttH|346525|284500|630480,ttH,ttH,signal_top,124.74572894137418,0,0,0,4,4,0,2,2,244.44592666625977,101.42652893066406,67.1988296508789,134.41676330566406,16.97477977563628,3.1535230206627234,True,test,0.7949296390186744,ttH_had_BDT2,0.00032571033083487344
ttH|346525|284500|631515,ttH,ttH,signal_top,123.25756991596015,0,0,0,4,4,0,1,1,267.0190658569336,124.16416931152344,56.81732177734375,83.93183898925781,182.63129611331036,1.6004098854463849,True,train,0.8901044951771264,ttH_had_BDT1,0.00036982792324619264
ttH|346525|284500|631426,ttH,ttH,signal_top,122.76993368776243,0,0,0,5,5,0,1,1,386.4692039489746,127.80084228515625,122.76856231689453,124.49288940429688,140.693749238357,1.5313031599107718,True,test,0.9298526702947953,ttH_had_BDT1,0.0
ttH|346525|284500|631271,ttH,ttH,signal_top,128.06096348451365,0,0,0,3,3,0,1,1,250.63904190063477,144.7960662841797,59.28395080566406,69.11444091796875,71.8553452845301,2.6438424017417814,True,test,0.3494289395563301,unassigned,0.0
ttH|346525|284500|631821,ttH,ttH,signal_top,122.88821109227447,0,0,0,6,6,0,1,1,421.97467613220215,137.395751953125,111.24745178222656,40.376956939697266,175.91333865289923,1.6930551120884019,True,train,0.9236706693763963,ttH_had_BDT1,0.0
ttH|346525|284500|631629,ttH,ttH,signal_top,126.0568970743843,0,0,0,5,5,0,1,1,612.5143089294434,468.4956970214844,41.524471282958984,80.76024627685547,9.951983442213738,3.1676665830512025,False,train,0.5038242367858701,ttH_had_BDT3,0.0
ttH|346525|284500|1746393,ttH,ttH,signal_top,127.24942435576736,0,0,0,5,5,0,1,1,398.42874908447266,170.38352966308594,112.43162536621094,64.0672836303711,106.44749940901904,1.759779807136493,False,train,0.7149947459644602,ttH_had_BDT3,0.0
ttH|346525|284500|1746769,ttH,ttH,signal_top,127.67313238383254,0,0,0,5,5,0,1,1,221.17608261108398,80.10869598388672,45.68815994262695,52.78555679321289,51.01693581734954,2.7328655001991398,False,train,0.37299642488191687,ttH_had_BDT3,0.0
ttH|346525|284500|1746164,ttH,ttH,signal_top,128.62865507939296,0,0,0,7,7,0,2,2,411.33921813964844,144.64967346191406,91.79580688476562,23.128746032714844,47.69770258270254,2.8574664855004746,False,test,0.8773366477283743,ttH_had_BDT2,0.0
ttH|346525|284500|1746698,ttH,ttH,signal_top,124.06545513935971,0,0,0,3,3,0,1,1,180.1603832244873,120.310302734375,34.35989761352539,66.20585632324219,99.885216614564,2.0232282243626085,False,val,0.4170743110935076,ttH_had_BDT3,0.0
ttH|346525|284500|1746802,ttH,ttH,signal_top,116.11763536240075,0,0,0,4,4,0,2,2,259.6001625061035,95.61618041992188,94.93531036376953,22.636016845703125,90.59085296627876,2.1654725505981016,False,train,0.7512629948380308,ttH_had_BDT2,0.0
ttH|346525|284500|1746110,ttH,ttH,signal_top,123.4962636283766,0,0,0,5,5,0,1,1,608.9728965759277,289.09210205078125,102.57494354248047,134.5917205810547,233.99207342663806,1.2435332708430058,True,train,0.923998890751499,ttH_had_BDT1,0.00038578586798864475
ttH|346525|284500|1746297,ttH,ttH,signal_top,124.16126302960642,0,0,0,4,4,0,2,2,303.6817741394043,140.09567260742188,88.6109390258789,29.08232307434082,174.39235922849767,1.364510127101123,True,train,0.8498270589322688,ttH_had_BDT2,0.00032979726733026817
ttH|346525|284500|1746557,ttH,ttH,signal_top,126.56671855079291,0,0,0,3,3,0,1,1,228.7599754333496,125.76716613769531,60.38889694213867,69.90721893310547,19.075781171458466,2.872712316922501,True,train,0.2432234517426964,unassigned,0.00033425189227521404
ttH|346525|284500|1746658,ttH,ttH,signal_top,122.93699122775769,0,0,0,5,5,0,1,1,303.27823066711426,92.9323501586914,91.83534240722656,51.32786178588867,84.7199057391072,2.2789145735698133,True,train,0.7257201016368061,ttH_had_BDT3,0.0
ttH|346525|284500|1747030,ttH,ttH,signal_top,124.70449434657142,0,0,0,3,3,0,1,1,127.64279747009277,56.66057205200195,45.65903854370117,56.3216667175293,134.19268791223473,1.6325529162844332,False,val,0.6104207488905765,ttH_had_BDT3,0.0
ttH|346525|284500|1747326,ttH,ttH,signal_top,125.7899382672458,0,0,0,3,3,0,1,1,184.97560119628906,76.66876983642578,54.84566879272461,16.14243507385254,185.2191158119833,1.7006837428243986,True,test,0.4014959377591295,ttH_had_BDT3,0.0003675072177773101
ttH|346525|284500|1747492,ttH,ttH,signal_top,124.64288025517793,0,0,0,6,6,0,1,1,394.1662406921387,107.16580963134766,77.57701873779297,55.23663330078125,162.37095165548612,1.4944255012915848,False,train,0.9256798379758541,ttH_had_BDT1,0.0
ttH|346525|284500|1747421,ttH,ttH,signal_top,126.30385625962336,0,0,0,3,3,0,1,1,252.98379516601562,107.32486724853516,73.15119934082031,113.99683380126953,87.91420735796831,2.133255564496621,True,val,0.7594311282705863,ttH_had_BDT2,0.00033933637778154355
